ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source,first_transcript_date,last_transcript_date,distinct_transcript_years,deduped_call_count,coverage_status,coverage_filter_reason,manual_keep_exception
KDP,Keurig Dr Pepper,334622,Keurig Dr Pepper Inc.,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,KDP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-11-15,2025-07-24,17,61,keep_min10y,distinct_transcript_years_ge_10,False
KHC,Kraft Heinz,278212,The Kraft Heinz Company,Nasdaq,Consumer Staples,Packaged Foods,ticker_exchange_match,0.99,True,KHC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-08-24,2025-10-29,17,79,keep_min10y,distinct_transcript_years_ge_10,False
KLAC,KLA Corporation,282225,KLA Corporation,Nasdaq,Technology,Electronic Components,ticker_exchange_match,0.99,True,KLAC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-07-27,2025-10-29,20,75,keep_min10y,distinct_transcript_years_ge_10,False
LIN,Linde plc,318049,Linde plc,Nasdaq,Basic Materials,Major Chemicals,ticker_exchange_match,0.99,True,LIN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=27,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-01-23,2025-10-31,18,69,keep_min10y,distinct_transcript_years_ge_10,False
LRCX,Lam Research,30655,Lam Research Corporation,Nasdaq,Technology,Industrial Machinery,ticker_exchange_match,0.99,True,LRCX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-01-18,2025-10-22,20,77,keep_min10y,distinct_transcript_years_ge_10,False
MAR,Marriott International,31148,"Marriott International, Inc.",Nasdaq,Consumer Discretionary,Hotels/Resorts,ticker_exchange_match,0.99,True,MAR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=31,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-02-14,2025-11-04,18,71,keep_min10y,distinct_transcript_years_ge_10,False
MCHP,Microchip Technology,31500,Microchip Technology Incorporated,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MCHP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-01-19,2025-11-06,20,76,keep_min10y,distinct_transcript_years_ge_10,False
MDLZ,Mondelez International,739693,"Mondelez International, Inc.",Nasdaq,Consumer Staples,Packaged Foods,ticker_exchange_match,0.99,True,MDLZ,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-08-01,2025-10-28,19,74,keep_min10y,distinct_transcript_years_ge_10,False
MELI,Mercado Libre,34322384,"MercadoLibre, Inc.",Nasdaq,Consumer Discretionary,Catalog/Specialty Distribution,ticker_exchange_match,0.99,True,MELI,,verified,candidate_source=trading_item_join; name_similarity=0.960; candidate_count=12,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-05-13,2025-10-29,18,70,keep_min10y,distinct_transcript_years_ge_10,False
META,Meta Platforms,20765463,"Meta Platforms, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,META,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=27,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2012-07-26,2025-10-29,14,54,keep_min10y,distinct_transcript_years_ge_10,False
MNST,Monster Beverage,343729,Monster Beverage Corporation,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,MNST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-08-08,2025-11-06,19,72,keep_min10y,distinct_transcript_years_ge_10,False
MPWR,Monolithic Power Systems,3051626,"Monolithic Power Systems, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MPWR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-07-31,2025-10-30,18,69,keep_min10y,distinct_transcript_years_ge_10,False
MRVL,Marvell Technology,31158,"Marvell Technology, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MRVL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-23,2025-12-02,20,78,keep_min10y,distinct_transcript_years_ge_10,False
MSFT,Microsoft,21835,Microsoft Corporation,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,MSFT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=15,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-04-27,2025-10-29,20,79,keep_min10y,distinct_transcript_years_ge_10,False
MSTR,MicroStrategy,384976,Strategy Inc,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,MSTR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2014-07-28,2025-10-30,12,46,keep_min10y,distinct_transcript_years_ge_10,False
