ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source
ISRG,Intuitive Surgical,30239,"Intuitive Surgical, Inc.",Nasdaq,Health Care,Industrial Specialties,ticker_exchange_match,0.99,True,ISRG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
KDP,Keurig Dr Pepper,334622,Keurig Dr Pepper Inc.,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,KDP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
KHC,Kraft Heinz,278212,The Kraft Heinz Company,Nasdaq,Consumer Staples,Packaged Foods,ticker_exchange_match,0.99,True,KHC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
KLAC,KLA Corporation,282225,KLA Corporation,Nasdaq,Technology,Electronic Components,ticker_exchange_match,0.99,True,KLAC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
LIN,Linde plc,318049,Linde plc,Nasdaq,Basic Materials,Major Chemicals,ticker_exchange_match,0.99,True,LIN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=27,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
LITE,Lumentum,272054403,Lumentum Holdings Inc.,Nasdaq,Technology,Communication Equipment,ticker_exchange_match,0.99,True,LITE,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
LRCX,Lam Research,30655,Lam Research Corporation,Nasdaq,Technology,Industrial Machinery,ticker_exchange_match,0.99,True,LRCX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MAR,Marriott International,31148,"Marriott International, Inc.",Nasdaq,Consumer Discretionary,Hotels/Resorts,ticker_exchange_match,0.99,True,MAR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=31,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MCHP,Microchip Technology,31500,Microchip Technology Incorporated,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,MCHP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=4,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MDLZ,Mondelez International,739693,"Mondelez International, Inc.",Nasdaq,Consumer Staples,Packaged Foods,ticker_exchange_match,0.99,True,MDLZ,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
MELI,Mercado Libre,34322384,"MercadoLibre, Inc.",Nasdaq,Consumer Discretionary,Catalog/Specialty Distribution,ticker_exchange_match,0.99,True,MELI,,verified,candidate_source=trading_item_join; name_similarity=0.960; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
